gene_a.name,gene_a.identifier,gene_b.name,gene_b.identifier,NonSL.cell_line,NonSL.pubmed_id,NonSL.source,NonSL.statistic_score
CARS1,833,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.01
DUT,1854,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.11
ACTL6A,86,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.0
GEMIN4,50628,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.11
HSPA5,3309,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.01
DMAP1,55929,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.08
CNOT1,23019,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.05
MRPL18,29074,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.04
RPL24,6152,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.03
MED9,55090,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.14
GNL3L,54552,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.06
PPCS,79717,TRA2B,6434,Jurkat,31300006,CRISPR/CRISPRi,0.03
FBXO28,23219,GFI1B,8328,Jurkat,31300006,CRISPR/CRISPRi,0.04
EMC2,9694,GFI1B,8328,Jurkat,31300006,CRISPR/CRISPRi,0.01
EFR3A,23167,GFI1B,8328,Jurkat,31300006,CRISPR/CRISPRi,0.02
CDC26,246184,GFI1B,8328,Jurkat,31300006,CRISPR/CRISPRi,0.07
RAE1,8480,SPATA5,166378,Jurkat,31300006,CRISPR/CRISPRi,0.02
NIP7,51388,SPATA5,166378,Jurkat,31300006,CRISPR/CRISPRi,0.0
RPL32,6161,SPATA5,166378,Jurkat,31300006,CRISPR/CRISPRi,0.0
COPA,1314,SPATA5,166378,Jurkat,31300006,CRISPR/CRISPRi,0.06
MED22,6837,SPATA5,166378,K562;Jurkat,31300006,CRISPR/CRISPRi,0.1
CKAP5,9793,SPATA5,166378,K562,31300006,CRISPR/CRISPRi,0.24
MED17,9440,SPATA5,166378,Jurkat,31300006,CRISPR/CRISPRi,0.01
DDX18,8886,SPATA5,166378,K562;Jurkat,31300006,CRISPR/CRISPRi,0.13
NDUFA2,4695,SPATA5,166378,Jurkat,31300006,CRISPR/CRISPRi,0.04
MRPL11,65003,SPATA5,166378,Jurkat,31300006,CRISPR/CRISPRi,0.0
CDK1,983,SPATA5,166378,Jurkat,31300006,CRISPR/CRISPRi,0.04
PDHA2,5161,PGAM2,5224,A549,31300006,CRISPR/CRISPRi,0.09
BUB1B,701,CEP63,80254,K562,31300006,CRISPR/CRISPRi,0.14
CDC26,246184,CEP63,80254,Jurkat,31300006,CRISPR/CRISPRi,0.06
